,city,lat,lng
0,Rangoon,16.795,96.16
1,Mandalay,21.9831,96.0844
2,Nay Pyi Taw,19.7475,96.115
3,Kyaukse,21.6131,96.1303
4,Hpa-An,16.8906,97.6333
5,Maungdaw,20.8167,92.3667
6,Taunggyi,20.7836,97.0354
7,Magway,20.15,94.95
8,Myeik,12.4333,98.6
9,Bago,17.3333,96.4833
